nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
By precious.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S2,12/16/24,,,,,,,,,,,,,,,,,,,,
Insect pests,"Partial, 1 flower caterpillar moth",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial, weeds regrowth",,,,,,,,,,,,,,,,,,,,
inrows,"fail, ",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
flowering,"fail, ",,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,"2, illhealth plants",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S4,12/17/24,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial ,weeds require action",,,,,,,,,,,,,,,,,,,,
inrows,"fail, to be slashed",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial,due to Excavator destumping in progress",,,,,,,,,,,,,,,,,,,,
moisture,fail ,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,no,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S3,12/17/24,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"fail,weeds should be removed",,,,,,,,,,,,,,,,,,,,
inrows,fail,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,"pass, was slashed",,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,"Partial, 3 young plants died due to water stress [hot temperatures]",,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,By Precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
B2S5  19/12/24,,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial,weeds regrowth in basins",,,,,,,,,,,,,,,,,,,,
inrows,"partial,incomplete",,,,,,,,,,,,,,,,,,,,
mowing,"partial,incomplete",,,,,,,,,,,,,,,,,,,,
inaccessibles,"pass,was slashed",,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
dead plants,"Pass,1 at extension",,,,,,,,,,,,,,,,,,,,
nutsetting,partial,,,,,,,,,,,,,,,,,,,,
nutdrop,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
," partial,",,,,,,,,,,,,,,,,,,,,
By precious.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
20/12/24  B1S1,,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,conjective meally bugs on nut stalk and under individual trees",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,due to sooty mould",,,,,,,,,,,,,,,,,,,,
basins,"partial ,incomplete action and grass regrowth",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/21/24,B2S7,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,meally bugs,stink bug eggs hetched and unhetched ,2nymphal",,,,,,,,,,,,,,,,,,,,
,green veg bug,,,,,,,,,,,,,,,,,,,,
basins,"partial,weeds regrowth in basins",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial, sooty mould on individual trees",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/27/24,B2S6,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,partial which need action,,,,,,,,,,,,,,,,,,,,
inrows,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/30/24,B2S8,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,fail ,,,,,,,,,,,,,,,,,,,,
inrows,partial,,,,,,,,,,,,,,,,,,,,
mowing,partial,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/31/24,B1S2 ,,,,,,,,,,,,,,,,,,,,
Insect pests,"partial,stink bug eggs on nut",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
By precious.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01/15/25,Daily scouting B1S2 ,,,,,,,,,,,,,,,,,,,,
Insect pests,"pass ,savage was very effective",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"pass ,very smart",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,"pass,orchard is smart",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
contours,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
moisture,fail ,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,By Precious,   ,,,,,,,,,,,,,,,,,,,
01/16/25,Daily scouting B1S1,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail, fruit spotting bug nympal on nut . Few meally bugs also found",,,,,,,,,,,,,,,,,,,,
diseases,"partial sooty mould not totally eradicated ,copper sprays are highly required",,,,,,,,,,,,,,,,,,,,
basins,pass very smart,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
contours,pass very smart,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass due to showers of today,,,,,,,,,,,,,,,,,,,,
health status,"pas macadamia plants and nuts look green ,big and healthy.only",,,,,,,,,,,,,,,,,,,,
,sooty mould to be treated on few plants,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,By Precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01/21/25,b2s7,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"pass,very clean due to handweeding",,,,,,,,,,,,,,,,,,,,
inrows,"pass,was slashed",,,,,,,,,,,,,,,,,,,,
mowing,"pass,the orchard floor is smart",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
moisture,"pass,due to heavy rain",,,,,,,,,,,,,,,,,,,,
health status,"pass,plants and nuts are healthier in a clean orchard",,,,,,,,,,,,,,,,,,,,
01/22/25,b2s1a,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
01/22/25,b2s1b,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial ,weeds require action",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,N/A,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial ,grass recovering up",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,"NB destumping is the best way to solve the problems of inaccessibles ,",,,,,,,,,,,,,,,,,,,,
,[Shingizha grass] in this section,,,,,,,,,,,,,,,,,,,,
01/30/25,b2s3,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial ,which needs action",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
01/30/25,b2s4,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,By Precious,,,,,,,,,,,,,,,,,,,,
01/31/25,b1s1,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail, 4 nymphals of green veg bug and hetched green veg bug eggs",,,,,,,,,,,,,,,,,,,,
diseases,"Pass, 2 developing nuts with husk rot",,,,,,,,,,,,,,,,,,,,
basins,"pass, weeds regrowth",,,,,,,,,,,,,,,,,,,,
inrows,"pass, grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,"pass,grass regrowth",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,"pass, due to past heavy rains",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
contours,pass was slashed,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
01/31/25,B1S2 ,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail, 1 green veg bug nympal and hetched eggs on 1 nut",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"fail ,weeds requires action",,,,,,,,,,,,,,,,,,,,
inrows,"pass,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,"pass, grass regrowth",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
contours,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
staking,1 plant need action ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/01/25,b2s6,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,felted coccid and 1 nut borer damage",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"pass,very clean due to handweeding",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,"pass, the orchard is now smart",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,3 microjets demaged physically,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/03/25,b2s7,,,,,,,,,,,,,,,,,,,,
Insect pests,pass however  unhatched green vegetabie bug eggs are found.A knockdown experiment is required.,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass herbiciding was done.,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
02/04/25,b2s8,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,partial,,,,,,,,,,,,,,,,,,,,
deadplants,"Pass ,[1]",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
02/04/25,Quality test to see stink bug damages ,,,,,,,,,,,,,,,,,,,,
,I have collecting 10 nuts from 2 trees only.After cracking the nuts l,,,,,,,,,,,,,,,,,,,,
,Identify 4 nuts with stink bug damage whilist 6 are good .Henceforth thourough monitoring,,,,,,,,,,,,,,,,,,,,
,is highly demanded to avoid further destroy,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
04 /02/25,Knockdown Experiment using Methomyl insecticide,,,,,,,,,,,,,,,,,,,,
,"3 adults  green veg bug ,some nymphals of green veg bugs and other pests found",,,,,,,,,,,,,,,,,,,,
,on ten trees,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/05/25,b2s5 ,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,fail,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/05/25,b2s7 knock down experiment using methomyl,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail,15 nymphals found on sheet [green veg bug ] and other pests",,,,,,,,,,,,,,,,,,,,
02/06/25,b2s2,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"partial, inprogress",,,,,,,,,,,,,,,,,,,,
mowing,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
inaccessibles,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
moisture,"fail, no moisture",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/06/25,b2s1A,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail, 4 nymphals of green veg bug and hetched green veg bug eggs",,,,,,,,,,,,,,,,,,,,
,and nut borer damages,,,,,,,,,,,,,,,,,,,,
basins,fail,,,,,,,,,,,,,,,,,,,,
inrows,partial,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,partial,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,"Partial,1 plant died physically",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/07/25,b2s1b,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,some green veg bug nymphals and nut borer damage",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,fail,,,,,,,,,,,,,,,,,,,,
mowing,N/A,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,fail,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
02/14/25,b2s7  daily scouting ,,,,,,,,,,,,,,,,,,,,
Insect pests,"Fail,1 green veg bug nymphal found on a nut",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,"pass,herbiciding was done",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass due to rains,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
17 /02/25,b1s1 daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail, some green veg bug nymphs and a nut borer damage",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial, weeds regrowth",,,,,,,,,,,,,,,,,,,,
inrows,"fail,to be slashed to avoid pests hosting",,,,,,,,,,,,,,,,,,,,
mowing,"partial,inprogress ",,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,"pass,due to rains",,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
contours,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/18/25,B1S2 ,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,some green veg bug nymphs and some eggs",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial,weeds regrowth in basins",,,,,,,,,,,,,,,,,,,,
inrows,"fail,",,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
contours,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/19/25,b2s6 daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail, some green veg bug nymphs and unhetched eggs ,also nut borer damages on 5 nuts",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,fail,,,,,,,,,,,,,,,,,,,,
inrows,"partial,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/19/25,b2s8 daily,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,fail,,,,,,,,,,,,,,,,,,,,
inrows,"partial,which needs action",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/24/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,some green veg bug nymphs found on tees",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,fail,,,,,,,,,,,,,,,,,,,,
inrows,partial which need action,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,Pass [1] due to physical damages,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
24/02/25/,b2s1b,,,,,,,,,,,,,,,,,,,,
Insect pests,"fail,some green veg bug nymphs ",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,partial,,,,,,,,,,,,,,,,,,,,
mowing,N/A,,,,,,,,,,,,,,,,,,,,
inaccessibles,fail,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
24/02/25/,b2s3 Daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,partial,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/26/25,b2s2 Daily scouting,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,pass,,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,partial incomplete field which need action,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
p.p. in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
p.p. corr burried,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
02/26/25,Daily scouting b2s4,,,,,,,,,,,,,,,,,,,,
Insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basins,"partial ,weeds regrowth",,,,,,,,,,,,,,,,,,,,
inrows,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
inaccessibles,pass,,,,,,,,,,,,,,,,,,,,
moisture,pass,,,,,,,,,,,,,,,,,,,,
deadplants,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
p.p.in good order,pass,,,,,,,,,,,,,,,,,,,,
p.p.corr burried,pass,02/28/24,,,,,,,,,,,,,,,,,,,
health status,pass,,PLANT HEALTH DASH BOARD FROM 14 FEB –26FEB 2025,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,ITERMS,B1S1,B1S2,B2S1A,B2S1B,B2S2,B2S3,B2S4,B2S5,B2S6,B2S7,B2S8,,,,,,,,
02/26/25,b2s5 Daily scouting,basin correctly formed,pass,Partial,pass,partial,pass,pass,pass,partial,pass,pass,pass,,,,,,,,
Insect pests,pass,basin weeds,pass,pass,fail,partial,partial,pass,partial,partial,partial,pass,fail,,,,,,,,
diseases,pass,mowing,pass,pass,pass,N/A,partial,partial,pass,partial,partial,partial,pass,,,,,,,,
basins,"partial,weeds regrowth in basins",wet soil condition,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
inrows,partial,pipes correctly burried,N/A,N/A,pass,pass,pass,pass,pass,pass,pass,pass,pass,,,,,,,,
mowing,partial,drippers,N/A,N/A,pass,pass,pass,pass,pass,pass,partial,pass,pass,,,,,,,,
