1,date,section,metric,condition,notes,source,id
440.0,2025-01-15,B1S2,basin weeds,pass,very smart,Original,
439.0,2025-01-15,B1S2,diseases,pass,,Original,
438.0,2025-01-15,B1S2,Insect pests,pass,savage was very effective,Original,
441.0,2025-01-15,B1S2,inrows,pass,,Original,
457.0,2025-01-16,B1S1,health status,partial,,Original,
456.0,2025-01-16,B1S1,moisture,pass,due to showers of today,Original,
455.0,2025-01-16,B1S1,dead plants,pass,,Original,
454.0,2025-01-16,B1S1,contours,pass,very smart,Original,
453.0,2025-01-16,B1S1,inaccessibles,pass,,Original,
451.0,2025-01-16,B1S1,inrows,pass,,Original,
450.0,2025-01-16,B1S1,basin weeds,pass,very smart,Original,
449.0,2025-01-16,B1S1,diseases,partial,"sooty mould not totally eradicated ,copper sprays are highly required",Original,
448.0,2025-01-16,B1S1,Insect pests,fail,fruit spotting bug nympal on nut . Few meally bugs also found,Original,
452.0,2025-01-16,B1S1,mowing,pass,,Original,
,2025-01-19,B2S1B,Growth,pass,No intervention needed,Sample,41.0
,2025-01-19,B2S6,insect pests,pass,Good condition maintained - 81% severity,Sample,51.0
,2025-01-20,B2S3,drippers,pass,Good condition maintained - Morning inspection,Sample,132.0
466.0,2025-01-21,B2S7,health status,pass,plants and nuts are healthier in a clean orchard,Original,
,2025-01-21,B1S2,diseases,pass,Healthy plants,Sample,36.0
465.0,2025-01-21,B2S7,moisture,pass,due to heavy rain,Original,
460.0,2025-01-21,B2S7,basin weeds,pass,very clean due to handweeding,Original,
463.0,2025-01-21,B2S7,inaccessibles,pass,,Original,
462.0,2025-01-21,B2S7,mowing,pass,the orchard floor is smart,Original,
461.0,2025-01-21,B2S7,inrows,pass,was slashed,Original,
459.0,2025-01-21,B2S7,diseases,pass,,Original,
458.0,2025-01-21,B2S7,Insect pests,pass,,Original,
464.0,2025-01-21,B2S7,dead plants,pass,,Original,
480.0,2025-01-22,B2S1B,mowing,pass,,Original,
484.0,2025-01-22,B2S1B,health status,pass,,Original,
483.0,2025-01-22,B2S1B,moisture,pass,,Original,
,2025-01-22,B2S7,drippers,fail,Critical issues detected,Sample,157.0
482.0,2025-01-22,B2S1B,dead plants,pass,,Original,
481.0,2025-01-22,B2S1B,inaccessibles,partial,grass recovering up,Original,
479.0,2025-01-22,B2S1B,inrows,pass,,Original,
473.0,2025-01-22,B2S1A,dead plants,pass,,Original,
477.0,2025-01-22,B2S1B,diseases,pass,,Original,
476.0,2025-01-22,B2S1B,Insect pests,pass,,Original,
475.0,2025-01-22,B2S1A,health status,pass,,Original,
474.0,2025-01-22,B2S1A,moisture,pass,,Original,
472.0,2025-01-22,B2S1A,inaccessibles,pass,,Original,
471.0,2025-01-22,B2S1A,mowing,pass,,Original,
478.0,2025-01-22,B2S1B,basin weeds,partial,weeds require action,Original,
467.0,2025-01-22,B2S1A,Insect pests,pass,,Original,
468.0,2025-01-22,B2S1A,diseases,pass,,Original,
469.0,2025-01-22,B2S1A,basin weeds,pass,,Original,
470.0,2025-01-22,B2S1A,inrows,pass,,Original,
,2025-01-24,B1S2,contours,partial,In progress,Sample,63.0
,2025-01-24,B2S2,plant growth,pass,Standards met,Sample,87.0
,2025-01-25,B2S6,Dead Plant,pass,No issues detected - 9 plants affected,Sample,9.0
,2025-01-25,B2S1A,staking,pass,Standards met,Sample,49.0
,2025-01-26,B2S1A,pests,pass,Standards met,Sample,77.0
,2025-01-27,B2S2,Insect pests,pass,No pests detected,Sample,177.0
,2025-01-28,B2S4,Weather,partial,Some weather concerns - South section,Sample,54.0
494.0,2025-01-30,B2S4,Insect pests,pass,,Original,
493.0,2025-01-30,B2S3,health status,pass,,Original,
486.0,2025-01-30,B2S3,diseases,pass,,Original,
487.0,2025-01-30,B2S3,basin weeds,pass,,Original,
488.0,2025-01-30,B2S3,inrows,pass,,Original,
489.0,2025-01-30,B2S3,mowing,pass,,Original,
490.0,2025-01-30,B2S3,inaccessibles,partial,which needs action,Original,
491.0,2025-01-30,B2S3,dead plants,pass,,Original,
,2025-01-30,B1S1,drippers,pass,Excellent performance - Morning inspection,Sample,91.0
492.0,2025-01-30,B2S3,moisture,pass,,Original,
485.0,2025-01-30,B2S3,Insect pests,pass,,Original,
498.0,2025-01-30,B2S4,mowing,pass,,Original,
496.0,2025-01-30,B2S4,basin weeds,pass,,Original,
499.0,2025-01-30,B2S4,inaccessibles,partial,inprogress,Original,
495.0,2025-01-30,B2S4,diseases,pass,,Original,
500.0,2025-01-30,B2S4,dead plants,pass,,Original,
501.0,2025-01-30,B2S4,moisture,pass,,Original,
502.0,2025-01-30,B2S4,health status,pass,,Original,
497.0,2025-01-30,B2S4,inrows,pass,,Original,
507.0,2025-01-31,B1S1,mowing,pass,grass regrowth,Original,
503.0,2025-01-31,B1S1,Insect pests,fail,4 nymphals of green veg bug and hetched green veg bug eggs,Original,
504.0,2025-01-31,B1S1,diseases,pass,2 developing nuts with husk rot,Original,
505.0,2025-01-31,B1S1,basin weeds,pass,weeds regrowth,Original,
506.0,2025-01-31,B1S1,inrows,pass,grass regrowth,Original,
,2025-01-31,B2S2,soil moisture,pass,Standards met - Afternoon inspection,Sample,1.0
508.0,2025-01-31,B1S1,inaccessibles,pass,,Original,
516.0,2025-01-31,B1S2,inrows,pass,grass regrowth,Original,
518.0,2025-01-31,B1S2,inaccessibles,pass,,Original,
519.0,2025-01-31,B1S2,moisture,partial,,Original,
515.0,2025-01-31,B1S2,basin weeds,fail,weeds requires action,Original,
520.0,2025-01-31,B1S2,dead plants,pass,,Original,
514.0,2025-01-31,B1S2,diseases,pass,,Original,
522.0,2025-01-31,B1S2,health status,pass,,Original,
513.0,2025-01-31,B1S2,Insect pests,fail,1 green veg bug nympal and hetched eggs on 1 nut,Original,
512.0,2025-01-31,B1S1,health status,pass,,Original,
511.0,2025-01-31,B1S1,contours,pass,was slashed,Original,
510.0,2025-01-31,B1S1,dead plants,pass,,Original,
509.0,2025-01-31,B1S1,moisture,pass,due to past heavy rains,Original,
521.0,2025-01-31,B1S2,contours,pass,,Original,
517.0,2025-01-31,B1S2,mowing,pass,grass regrowth,Original,
,2025-02-01,B2S3,Damage,fail,Critical issues detected,Sample,190.0
524.0,2025-02-01,B2S6,Insect pests,fail,felted coccid and 1 nut borer damage,Original,
531.0,2025-02-01,B2S6,dead plants,pass,,Original,
525.0,2025-02-01,B2S6,diseases,pass,,Original,
,2025-02-01,B2S5,Harvest,fail,Failed inspection,Sample,176.0
532.0,2025-02-01,B2S6,health status,pass,,Original,
526.0,2025-02-01,B2S6,basin weeds,pass,very clean due to handweeding,Original,
530.0,2025-02-01,B2S6,moisture,partial,,Original,
529.0,2025-02-01,B2S6,inaccessibles,pass,,Original,
528.0,2025-02-01,B2S6,mowing,pass,the orchard is now smart,Original,
527.0,2025-02-01,B2S6,inrows,pass,,Original,
,2025-02-02,B2S3,diseases,pass,No disease symptoms,Sample,148.0
,2025-02-03,B2S7,Soil,pass,Fertile soil - 17% area coverage,Sample,194.0
,2025-02-07,B2S6,Soil Moisture,pass,No issues detected,Sample,180.0
,2025-02-07,B2S5,nutsetting,pass,Optimal conditions,Sample,20.0
,2025-02-08,B2S1A,Pest,fail,Pest damage evident,Sample,50.0
,2025-02-10,B1S1,moisture,pass,Good soil moisture,Sample,21.0
,2025-02-12,B2S2,Growth,pass,No intervention needed - 12% area coverage,Sample,197.0
,2025-02-12,B2S6,destumping,pass,Standards met,Sample,165.0
,2025-02-13,B2S6,insect pests,pass,No issues detected - 24% area coverage,Sample,188.0
599.0,2025-02-14,B1S1,diseases,pass,,Original,
607.0,2025-02-14,B1S1,contours,pass,,Original,
606.0,2025-02-14,B1S1,health status,pass,,Original,
605.0,2025-02-14,B1S1,dead plants,pass,,Original,
604.0,2025-02-14,B1S1,moisture,pass,due to rains,Original,
589.0,2025-02-14,B2S7,Insect pests,fail,1 green veg bug nymphal found on a nut,Original,
590.0,2025-02-14,B2S7,diseases,pass,,Original,
603.0,2025-02-14,B1S1,inaccessibles,pass,,Original,
592.0,2025-02-14,B2S7,inrows,pass,herbiciding was done,Original,
593.0,2025-02-14,B2S7,mowing,pass,,Original,
602.0,2025-02-14,B1S1,mowing,partial,inprogress,Original,
594.0,2025-02-14,B2S7,inaccessibles,pass,,Original,
595.0,2025-02-14,B2S7,moisture,pass,due to rains,Original,
596.0,2025-02-14,B2S7,dead plants,pass,,Original,
600.0,2025-02-14,B1S1,basin weeds,partial,weeds regrowth,Original,
597.0,2025-02-14,B2S7,health status,pass,,Original,
598.0,2025-02-14,B1S1,Insect pests,fail,some green veg bug nymphs and a nut borer damage,Original,
601.0,2025-02-14,B1S1,inrows,fail,to be slashed to avoid pests hosting,Original,
591.0,2025-02-14,B2S7,basin weeds,pass,,Original,
,2025-02-14,B2S4,contours,partial,Requires monitoring - Morning inspection,Sample,182.0
,2025-02-15,B2S4,fire guard,pass,Excellent performance,Sample,172.0
,2025-02-16,B1S2,Harvest,partial,In progress - South section,Sample,94.0
,2025-02-16,B1S2,basin formation,pass,Excellent performance,Sample,151.0
,2025-02-16,B2S3,inrows,pass,Standards met,Sample,104.0
,2025-02-17,B2S3,soil nutrients,pass,All systems operating normally,Sample,116.0
614.0,2025-02-18,B1S2,contours,pass,,Original,
,2025-02-18,B2S6,Soil,pass,Optimal soil health,Sample,10.0
,2025-02-18,B2S2,pruning,partial,Minor issues detected,Sample,106.0
,2025-02-18,B2S7,health status,fail,Immediate action required,Sample,135.0
616.0,2025-02-18,B1S2,dead plants,pass,,Original,
608.0,2025-02-18,B1S2,Insect pests,fail,some green veg bug nymphs and some eggs,Original,
609.0,2025-02-18,B1S2,diseases,pass,,Original,
610.0,2025-02-18,B1S2,basin weeds,partial,weeds regrowth in basins,Original,
611.0,2025-02-18,B1S2,inrows,fail,,Original,
615.0,2025-02-18,B1S2,moisture,pass,,Original,
617.0,2025-02-18,B1S2,health status,pass,,Original,
613.0,2025-02-18,B1S2,inaccessibles,fail,,Original,
612.0,2025-02-18,B1S2,mowing,fail,,Original,
619.0,2025-02-19,B2S6,diseases,pass,,Original,
635.0,2025-02-19,B2S8,health status,pass,,Original,
634.0,2025-02-19,B2S8,dead plants,partial,,Original,
633.0,2025-02-19,B2S8,moisture,pass,,Original,
632.0,2025-02-19,B2S8,inaccessibles,pass,,Original,
631.0,2025-02-19,B2S8,mowing,pass,,Original,
630.0,2025-02-19,B2S8,inrows,partial,which needs action,Original,
629.0,2025-02-19,B2S8,basin weeds,fail,,Original,
628.0,2025-02-19,B2S8,diseases,pass,,Original,
626.0,2025-02-19,B2S6,health status,pass,,Original,
624.0,2025-02-19,B2S6,moisture,pass,,Original,
623.0,2025-02-19,B2S6,inaccessibles,pass,,Original,
622.0,2025-02-19,B2S6,mowing,pass,,Original,
621.0,2025-02-19,B2S6,inrows,partial,grass regrowth,Original,
620.0,2025-02-19,B2S6,basin weeds,fail,,Original,
627.0,2025-02-19,B2S8,Insect pests,pass,,Original,
618.0,2025-02-19,B2S6,Insect pests,fail,"some green veg bug nymphs and unhetched eggs ,also nut borer damages on 5 nuts",Original,
625.0,2025-02-19,B2S6,dead plants,pass,,Original,
,2025-02-19,B1S2,bud break,partial,Some improvement needed,Sample,189.0
,2025-02-21,B2S7,Harvest,pass,All systems operating normally,Sample,174.0
,2025-02-21,B1S1,staking,partial,Some improvement needed,Sample,137.0
652.0,2025-02-24,B2S1B,dead plants,pass,,Original,
637.0,2025-02-24,B2S1A,diseases,pass,,Original,
638.0,2025-02-24,B2S1A,basin weeds,fail,,Original,
639.0,2025-02-24,B2S1A,inrows,partial,which need action,Original,
640.0,2025-02-24,B2S1A,mowing,pass,,Original,
641.0,2025-02-24,B2S1A,inaccessibles,fail,,Original,
642.0,2025-02-24,B2S1A,moisture,pass,,Original,
643.0,2025-02-24,B2S1A,dead plants,pass,[1] due to physical damages,Original,
644.0,2025-02-24,B2S1A,health status,pass,,Original,
636.0,2025-02-24,B2S1A,Insect pests,fail,some green veg bug nymphs found on tees,Original,
646.0,2025-02-24,B2S1B,diseases,pass,,Original,
647.0,2025-02-24,B2S1B,basin weeds,pass,,Original,
648.0,2025-02-24,B2S1B,inrows,partial,,Original,
649.0,2025-02-24,B2S1B,mowing,pass,,Original,
650.0,2025-02-24,B2S1B,inaccessibles,fail,,Original,
651.0,2025-02-24,B2S1B,moisture,pass,,Original,
653.0,2025-02-24,B2S1B,health status,pass,,Original,
645.0,2025-02-24,B2S1B,Insect pests,fail,some green veg bug nymphs,Original,
655.0,2025-02-24,B2S3,diseases,pass,,Original,
662.0,2025-02-24,B2S3,health status,pass,,Original,
,2025-02-24,B1S1,Soil,pass,Good soil condition,Sample,129.0
654.0,2025-02-24,B2S3,Insect pests,pass,,Original,
656.0,2025-02-24,B2S3,basin weeds,pass,,Original,
657.0,2025-02-24,B2S3,inrows,pass,,Original,
658.0,2025-02-24,B2S3,mowing,partial,,Original,
659.0,2025-02-24,B2S3,inaccessibles,pass,,Original,
660.0,2025-02-24,B2S3,moisture,pass,,Original,
661.0,2025-02-24,B2S3,dead plants,pass,,Original,
,2025-02-25,B2S5,diseases,partial,Minor infection,Sample,195.0
678.0,2025-02-26,B2S4,basin weeds,partial,weeds regrowth,Original,
684.0,2025-02-26,B2S4,staking,pass,,Original,
683.0,2025-02-26,B2S4,dead plants,pass,,Original,
682.0,2025-02-26,B2S4,moisture,pass,,Original,
681.0,2025-02-26,B2S4,inaccessibles,pass,,Original,
680.0,2025-02-26,B2S4,mowing,pass,,Original,
679.0,2025-02-26,B2S4,inrows,pass,,Original,
677.0,2025-02-26,B2S4,diseases,pass,,Original,
676.0,2025-02-26,B2S4,Insect pests,pass,,Original,
692.0,2025-02-26,B2S5,inrows,partial,,Original,
701.0,2025-02-26,B2S5,health status,pass,,Original,
691.0,2025-02-26,B2S5,basin weeds,partial,weeds regrowth in basins,Original,
690.0,2025-02-26,B2S5,diseases,pass,,Original,
689.0,2025-02-26,B2S5,Insect pests,pass,,Original,
694.0,2025-02-26,B2S5,inaccessibles,pass,,Original,
695.0,2025-02-26,B2S5,moisture,pass,,Original,
688.0,2025-02-26,B2S4,health status,pass,,Original,
675.0,2025-02-26,B2S2,health status,pass,,Original,
687.0,2025-02-26,B2S4,pipes,pass,,Original,
685.0,2025-02-26,B2S4,drippers,pass,,Original,
696.0,2025-02-26,B2S5,dead plants,partial,,Original,
697.0,2025-02-26,B2S5,staking,pass,,Original,
698.0,2025-02-26,B2S5,drippers,pass,,Original,
699.0,2025-02-26,B2S5,pipes,pass,,Original,
700.0,2025-02-26,B2S5,pipes,pass,,Original,
686.0,2025-02-26,B2S4,pipes,pass,,Original,
674.0,2025-02-26,B2S2,pipes,pass,,Original,
693.0,2025-02-26,B2S5,mowing,partial,,Original,
672.0,2025-02-26,B2S2,pipes,partial,,Original,
,2025-02-26,B2S2,Pest,partial,Monitoring needed - 14% severity,Sample,187.0
663.0,2025-02-26,B2S2,Insect pests,pass,,Original,
664.0,2025-02-26,B2S2,diseases,pass,,Original,
665.0,2025-02-26,B2S2,basin weeds,pass,,Original,
666.0,2025-02-26,B2S2,inrows,pass,,Original,
673.0,2025-02-26,B2S2,drippers,pass,,Original,
668.0,2025-02-26,B2S2,inaccessibles,pass,,Original,
669.0,2025-02-26,B2S2,moisture,pass,,Original,
670.0,2025-02-26,B2S2,dead plants,pass,,Original,
671.0,2025-02-26,B2S2,staking,pass,,Original,
667.0,2025-02-26,B2S2,mowing,partial,incomplete field which need action,Original,
,2025-02-28,B2S3,dead plants,pass,Optimal conditions - Low priority,Sample,109.0
533.0,2025-03-02,B2S7,Insect pests,pass,however unhatched green vegetabie bug eggs are found.A knockdown experiment is required.,Original,
,2025-03-02,B1S2,leaf colour,partial,Some areas need attention - Low priority,Sample,171.0
535.0,2025-03-02,B2S7,basin weeds,pass,,Original,
536.0,2025-03-02,B2S7,inrows,pass,herbiciding was done.,Original,
537.0,2025-03-02,B2S7,mowing,pass,,Original,
538.0,2025-03-02,B2S7,inaccessibles,pass,,Original,
539.0,2025-03-02,B2S7,moisture,partial,,Original,
540.0,2025-03-02,B2S7,dead plants,pass,,Original,
541.0,2025-03-02,B2S7,health status,pass,,Original,
534.0,2025-03-02,B2S7,diseases,pass,,Original,
1773.0,2025-03-02,B2S8,insect pests,fail,2 green vegetable bugs,Original,
712.0,2025-03-03,B1S1,pipes,pass,,Original,
718.0,2025-03-03,B1S1,diseases,pass,,Original,
717.0,2025-03-03,B1S1,inrows,pass,,Original,
716.0,2025-03-03,B1S1,pruning,pass,,Original,
715.0,2025-03-03,B1S1,soil nutrients,pass,,Original,
713.0,2025-03-03,B1S1,dead plants,pass,1,Original,
711.0,2025-03-03,B1S1,pests,fail,some green veg bugs,Original,
710.0,2025-03-03,B1S1,plant growth,pass,,Original,
719.0,2025-03-03,B1S1,health status,pass,,Original,
709.0,2025-03-03,B1S1,leaf colour,pass,,Original,
707.0,2025-03-03,B1S1,drippers,pass,,Original,
706.0,2025-03-03,B1S1,pipes,pass,,Original,
705.0,2025-03-03,B1S1,soil moisture,pass,due to rains,Original,
704.0,2025-03-03,B1S1,mowing,pass,,Original,
703.0,2025-03-03,B1S1,basin weeds,partial,weeds regrowth,Original,
702.0,2025-03-03,B1S1,basin formation,pass,,Original,
,2025-03-03,B2S8,health status,pass,No intervention needed,Sample,2.0
708.0,2025-03-03,B1S1,staking,pass,i plant need support,Original,
732.0,2025-03-04,B2S6,soil nutrients,pass,,Original,
730.0,2025-03-04,B2S6,dead plants,pass,,Original,
733.0,2025-03-04,B2S6,pruning,pass,,Original,
725.0,2025-03-04,B2S6,staking,pass,,Original,
735.0,2025-03-04,B2S6,diseases,pass,,Original,
729.0,2025-03-04,B2S6,pipes,pass,,Original,
736.0,2025-03-04,B2S6,health status,pass,,Original,
734.0,2025-03-04,B2S6,inrows,fail,,Original,
728.0,2025-03-04,B2S6,pests,fail,some green veg bug nymphs and,Original,
720.0,2025-03-04,B2S6,basin formation,pass,,Original,
726.0,2025-03-04,B2S6,leaf colour,pass,,Original,
724.0,2025-03-04,B2S6,drippers,partial,,Original,
723.0,2025-03-04,B2S6,soil moisture,pass,,Original,
722.0,2025-03-04,B2S6,mowing,fail,,Original,
721.0,2025-03-04,B2S6,basin weeds,partial,,Original,
,2025-03-04,B2S8,mowing,partial,In progress,Sample,160.0
727.0,2025-03-04,B2S6,plant growth,pass,,Original,
757.0,2025-03-05,B2S3,mowing,pass,,Original,
762.0,2025-03-05,B2S3,leaf colour,partial,,Original,
758.0,2025-03-05,B2S3,soil moisture,pass,,Original,
759.0,2025-03-05,B2S3,pipes,pass,,Original,
760.0,2025-03-05,B2S3,drippers,pass,,Original,
761.0,2025-03-05,B2S3,staking,pass,,Original,
763.0,2025-03-05,B2S3,plant growth,pass,,Original,
749.0,2025-03-05,B1S2,pipes,pass,,Original,
765.0,2025-03-05,B2S3,pipes,partial,,Original,
766.0,2025-03-05,B2S3,dead plants,pass,,Original,
768.0,2025-03-05,B2S3,soil nutrients,pass,,Original,
769.0,2025-03-05,B2S3,pruning,pass,,Original,
770.0,2025-03-05,B2S3,inrows,pass,,Original,
771.0,2025-03-05,B2S3,health status,pass,,Original,
756.0,2025-03-05,B2S3,basin weeds,pass,,Original,
764.0,2025-03-05,B2S3,pests,pass,only green veg bug eggs found,Original,
755.0,2025-03-05,B2S3,basin formation,pass,,Original,
742.0,2025-03-05,B1S2,staking,pass,1 plant need support,Original,
752.0,2025-03-05,B1S2,inrows,pass,,Original,
737.0,2025-03-05,B1S2,basin formation,pass,,Original,
754.0,2025-03-05,B1S2,health status,pass,,Original,
739.0,2025-03-05,B1S2,mowing,pass,,Original,
740.0,2025-03-05,B1S2,soil moisture,pass,,Original,
741.0,2025-03-05,B1S2,drippers,pass,,Original,
743.0,2025-03-05,B1S2,leaf colour,pass,,Original,
744.0,2025-03-05,B1S2,plant growth,pass,,Original,
738.0,2025-03-05,B1S2,basin weeds,pass,,Original,
746.0,2025-03-05,B1S2,diseases,pass,,Original,
745.0,2025-03-05,B1S2,pests,fail,some green veg bugs and nymphs,Original,
747.0,2025-03-05,B1S2,pipes,pass,,Original,
748.0,2025-03-05,B1S2,dead plants,pass,,Original,
750.0,2025-03-05,B1S2,soil nutrients,pass,,Original,
751.0,2025-03-05,B1S2,pruning,pass,,Original,
,2025-03-06,B1S2,leaf colour,pass,Healthy growth observed,Sample,64.0
773.0,2025-03-06,B2S7,Insect pests,fail,2 nymphs of green veg bug found,Original,
,2025-03-06,B2S2,leaf colour,pass,No intervention needed - Morning inspection,Sample,79.0
772.0,2025-03-06,B1S1,pests,fail,some green veg bug,Original,
804.0,2025-03-07,B2S4,pipes,pass,,Original,
814.0,2025-03-07,B2S8,pipes,pass,,Original,
806.0,2025-03-07,B2S4,pruning,pass,,Original,
807.0,2025-03-07,B2S4,soil nutrients,pass,,Original,
808.0,2025-03-07,B2S4,inrows,pass,,Original,
809.0,2025-03-07,B2S4,health status,pass,,Original,
810.0,2025-03-07,B2S8,basin formation,partial,,Original,
811.0,2025-03-07,B2S8,basin weeds,fail,,Original,
812.0,2025-03-07,B2S8,mowing,partial,,Original,
813.0,2025-03-07,B2S8,soil moisture,pass,,Original,
815.0,2025-03-07,B2S8,pipes,partial,,Original,
796.0,2025-03-07,B2S4,pipes,pass,,Original,
817.0,2025-03-07,B2S8,pests,pass,,Original,
818.0,2025-03-07,B2S8,diseases,pass,,Original,
819.0,2025-03-07,B2S8,dead plants,partial,,Original,
820.0,2025-03-07,B2S8,pruning,pass,,Original,
821.0,2025-03-07,B2S8,staking,pass,,Original,
822.0,2025-03-07,B2S8,drippers,pass,,Original,
823.0,2025-03-07,B2S8,leaf colour,partial,,Original,
824.0,2025-03-07,B2S8,inrows,partial,inprogress,Original,
826.0,2025-03-07,B2S8,health status,pass,,Original,
,2025-03-07,B2S1B,inrows,partial,Some areas need attention,Sample,27.0
803.0,2025-03-07,B2S4,dead plants,pass,,Original,
816.0,2025-03-07,B2S8,plant growth,pass,,Original,
802.0,2025-03-07,B2S4,diseases,pass,,Original,
793.0,2025-03-07,B2S4,basin weeds,fail,,Original,
800.0,2025-03-07,B2S4,plant growth,pass,,Original,
801.0,2025-03-07,B2S4,pests,pass,,Original,
776.0,2025-03-07,B2S2,mowing,partial,incomplete field which need action,Original,
777.0,2025-03-07,B2S2,soil moisture,pass,,Original,
778.0,2025-03-07,B2S2,pipes,pass,,Original,
779.0,2025-03-07,B2S2,drippers,pass,,Original,
780.0,2025-03-07,B2S2,staking,pass,,Original,
781.0,2025-03-07,B2S2,leaf colour,partial,,Original,
782.0,2025-03-07,B2S2,plant growth,pass,,Original,
784.0,2025-03-07,B2S2,diseases,pass,,Original,
785.0,2025-03-07,B2S2,dead plants,pass,,Original,
786.0,2025-03-07,B2S2,pipes,partial,,Original,
783.0,2025-03-07,B2S2,pests,partial,2 variegated stink bug nymphs found,Original,
789.0,2025-03-07,B2S2,soil nutrients,pass,,Original,
799.0,2025-03-07,B2S4,leaf colour,partial,,Original,
798.0,2025-03-07,B2S4,staking,pass,,Original,
788.0,2025-03-07,B2S2,pruning,pass,,Original,
774.0,2025-03-07,B2S2,basin formation,pass,,Original,
795.0,2025-03-07,B2S4,soil moisture,pass,,Original,
797.0,2025-03-07,B2S4,drippers,pass,,Original,
775.0,2025-03-07,B2S2,basin weeds,fail,,Original,
792.0,2025-03-07,B2S4,basin formation,pass,,Original,
791.0,2025-03-07,B2S2,health status,pass,,Original,
790.0,2025-03-07,B2S2,inrows,pass,,Original,
794.0,2025-03-07,B2S4,mowing,pass,,Original,
839.0,2025-03-08,B2S5,dead plants,partial,,Original,
,2025-03-08,B2S7,moisture,pass,Optimal moisture levels,Sample,4.0
,2025-03-08,B2S4,moisture,partial,Some areas dry - Afternoon inspection,Sample,56.0
844.0,2025-03-08,B2S5,health status,pass,,Original,
843.0,2025-03-08,B2S5,inrows,pass,,Original,
842.0,2025-03-08,B2S5,pruning,pass,,Original,
841.0,2025-03-08,B2S5,soil nutrients,pass,,Original,
838.0,2025-03-08,B2S5,pipes,pass,,Original,
827.0,2025-03-08,B2S5,basin formation,pass,,Original,
836.0,2025-03-08,B2S5,pests,pass,,Original,
835.0,2025-03-08,B2S5,plant growth,pass,,Original,
834.0,2025-03-08,B2S5,leaf colour,pass,,Original,
833.0,2025-03-08,B2S5,staking,pass,,Original,
832.0,2025-03-08,B2S5,drippers,pass,,Original,
831.0,2025-03-08,B2S5,pipes,pass,,Original,
830.0,2025-03-08,B2S5,soil moisture,pass,,Original,
829.0,2025-03-08,B2S5,mowing,pass,,Original,
828.0,2025-03-08,B2S5,basin weeds,fail,,Original,
837.0,2025-03-08,B2S5,diseases,pass,,Original,
,2025-03-09,B2S8,soil nutrients,pass,Excellent performance,Sample,38.0
,2025-03-10,B2S5,inaccessibles,pass,Excellent performance,Sample,42.0
,2025-03-11,B1S2,pests,fail,Critical issues detected,Sample,3.0
845.0,2025-03-12,B2S5,Insect pests,pass,,Original,
847.0,2025-03-12,B2S1A,Insect pests,pass,,Original,
848.0,2025-03-12,B2S1B,Insect pests,pass,,Original,
,2025-03-13,B2S5,basins,pass,Standards met,Sample,138.0
,2025-03-14,B2S1B,inrows,partial,In progress - High priority,Sample,37.0
,2025-03-14,B2S5,Soil Moisture,partial,Some areas need attention,Sample,198.0
,2025-03-14,B2S1B,basin formation,partial,Mixed results observed,Sample,113.0
,2025-03-15,B2S5,Damage,partial,In progress,Sample,102.0
,2025-03-15,B2S2,Soil,pass,Fertile soil,Sample,105.0
,2025-03-16,B2S1A,Pest,pass,Pest-free area - 1 plants affected,Sample,101.0
,2025-03-17,B2S3,insect pests,fail,Standards not met,Sample,85.0
849.0,2025-03-17,B1S1,basin formation,pass,,Original,
850.0,2025-03-17,B1S1,basin weeds,partial,,Original,
851.0,2025-03-17,B1S1,mowing,pass,,Original,
852.0,2025-03-17,B1S1,soil moisture,pass,,Original,
853.0,2025-03-17,B1S1,pipes,pass,,Original,
854.0,2025-03-17,B1S1,drippers,pass,,Original,
858.0,2025-03-17,B1S1,pests,fail,"some green veg bug adults ,nymphs and eggs found",Original,
866.0,2025-03-17,B1S1,health status,pass,,Original,
865.0,2025-03-17,B1S1,inrows,partial,grass regrowth,Original,
864.0,2025-03-17,B1S1,pruning,pass,,Original,
863.0,2025-03-17,B1S1,soil nutrients,pass,,Original,
861.0,2025-03-17,B1S1,dead plants,pass,,Original,
860.0,2025-03-17,B1S1,pipes,pass,,Original,
859.0,2025-03-17,B1S1,diseases,pass,,Original,
855.0,2025-03-17,B1S1,staking,pass,,Original,
857.0,2025-03-17,B1S1,plant growth,pass,,Original,
856.0,2025-03-17,B1S1,leaf colour,pass,,Original,
868.0,2025-03-18,B2S8,insect pests,pass,,Original,
869.0,2025-03-19,B1S2,insect pests,fail,1 two spotted bug and some eggs found .however the population of,Original,
901.0,2025-03-20,B2S6,plant growth,pass,,Original,
900.0,2025-03-20,B2S6,leaf colour,pass,,Original,
899.0,2025-03-20,B2S6,drippers,partial,,Original,
902.0,2025-03-20,B2S6,pruning,pass,,Original,
889.0,2025-03-20,B2S6,insect pests,fail,"1 coconut bug,green vegetable bug nymphals and some eggs found",Original,
904.0,2025-03-20,B2S6,dead plants,pass,,Original,
906.0,2025-03-20,B2S6,health status,pass,,Original,
898.0,2025-03-20,B2S6,pipes,partial,,Original,
903.0,2025-03-20,B2S6,staking,pass,,Original,
897.0,2025-03-20,B2S6,pipes,pass,,Original,
888.0,2025-03-20,B2S7,health status,partial,due to phythophthora on 3 plants,Original,
895.0,2025-03-20,B2S6,soil moisture,pass,,Original,
872.0,2025-03-20,B2S7,diseases,partial,3 plants with phytophthora root rot .,Original,
873.0,2025-03-20,B2S7,basin formation,pass,,Original,
