1,date,section,metric,condition,notes
545,02/04/2025,B2S8,inrows,pass,
546,02/04/2025,B2S8,mowing,pass,
547,02/04/2025,B2S8,inaccessibles,pass,
548,02/04/2025,B2S8,moisture,partial,
549,02/04/2025,B2S8,dead plants,pass,[1]
550,02/04/2025,B2S8,health status,pass,
552,02/05/2025,B2S5,Insect pests,pass,
553,02/05/2025,B2S5,diseases,pass,
554,02/05/2025,B2S5,basin weeds,pass,
555,02/05/2025,B2S5,inrows,fail,
556,02/05/2025,B2S5,mowing,fail,
557,02/05/2025,B2S5,inaccessibles,fail,
558,02/05/2025,B2S5,moisture,fail,
559,02/05/2025,B2S5,dead plants,pass,
560,02/05/2025,B2S5,health status,pass,
561,02/05/2025,B2S7,Insect pests,fail,15 nymphals found on sheet [green veg bug ] and other pests
562,02/06/2025,B2S2,Insect pests,pass,
563,02/06/2025,B2S2,diseases,pass,
564,02/06/2025,B2S2,basin weeds,pass,
565,02/06/2025,B2S2,inrows,partial,inprogress
566,02/06/2025,B2S2,mowing,partial,inprogress
567,02/06/2025,B2S2,inaccessibles,partial,inprogress
568,02/06/2025,B2S2,moisture,fail,no moisture
569,02/06/2025,B2S2,dead plants,pass,
570,02/06/2025,B2S2,health status,pass,
571,02/06/2025,B2S1A,Insect pests,fail,4 nymphals of green veg bug and hetched green veg bug eggs
572,02/06/2025,B2S1A,basin weeds,fail,
573,02/06/2025,B2S1A,inrows,partial,
574,02/06/2025,B2S1A,mowing,pass,
575,02/06/2025,B2S1A,inaccessibles,partial,
576,02/06/2025,B2S1A,moisture,fail,
577,02/06/2025,B2S1A,dead plants,partial,1 plant died physically
578,02/06/2025,B2S1A,health status,pass,
579,02/06/2025,B2S1A,diseases,pass,
580,02/07/2025,B2S1B,Insect pests,fail,some green veg bug nymphals and nut borer damage
581,02/07/2025,B2S1B,diseases,pass,
582,02/07/2025,B2S1B,basin weeds,pass,
583,02/07/2025,B2S1B,inrows,fail,
584,02/07/2025,B2S1B,mowing,pass,
585,02/07/2025,B2S1B,inaccessibles,fail,
586,02/07/2025,B2S1B,moisture,fail,
587,02/07/2025,B2S1B,dead plants,pass,
588,02/07/2025,B2S1B,health status,pass,
589,14/02/2025,B2S7,Insect pests,fail,1 green veg bug nymphal found on a nut
590,14/02/2025,B2S7,diseases,pass,
591,14/02/2025,B2S7,basin weeds,pass,
592,14/02/2025,B2S7,inrows,pass,herbiciding was done
593,14/02/2025,B2S7,mowing,pass,
594,14/02/2025,B2S7,inaccessibles,pass,
595,14/02/2025,B2S7,moisture,pass,due to rains
596,14/02/2025,B2S7,dead plants,pass,
597,14/02/2025,B2S7,health status,pass,
598,14/02/2025,B1S1,Insect pests,fail,some green veg bug nymphs and a nut borer damage
599,14/02/2025,B1S1,diseases,pass,
600,14/02/2025,B1S1,basin weeds,partial,weeds regrowth
601,14/02/2025,B1S1,inrows,fail,to be slashed to avoid pests hosting
602,14/02/2025,B1S1,mowing,partial,inprogress
603,14/02/2025,B1S1,inaccessibles,pass,
604,14/02/2025,B1S1,moisture,pass,due to rains
605,14/02/2025,B1S1,dead plants,pass,
606,14/02/2025,B1S1,health status,pass,
607,14/02/2025,B1S1,contours,pass,
608,18/02/2025,B1S2,Insect pests,fail,some green veg bug nymphs and some eggs
609,18/02/2025,B1S2,diseases,pass,
610,18/02/2025,B1S2,basin weeds,partial,weeds regrowth in basins
611,18/02/2025,B1S2,inrows,fail,
612,18/02/2025,B1S2,mowing,fail,
613,18/02/2025,B1S2,inaccessibles,fail,
614,18/02/2025,B1S2,contours,pass,
615,18/02/2025,B1S2,moisture,pass,
616,18/02/2025,B1S2,dead plants,pass,
617,18/02/2025,B1S2,health status,pass,
618,19/02/2025,B2S6,Insect pests,fail,"some green veg bug nymphs and unhetched eggs ,also nut borer damages on 5 nuts"
619,19/02/2025,B2S6,diseases,pass,
620,19/02/2025,B2S6,basin weeds,fail,
621,19/02/2025,B2S6,inrows,partial,grass regrowth
622,19/02/2025,B2S6,mowing,pass,
623,19/02/2025,B2S6,inaccessibles,pass,
624,19/02/2025,B2S6,moisture,pass,
625,19/02/2025,B2S6,dead plants,pass,
626,19/02/2025,B2S6,health status,pass,
627,19/02/2025,B2S8,Insect pests,pass,
628,19/02/2025,B2S8,diseases,pass,
629,19/02/2025,B2S8,basin weeds,fail,
630,19/02/2025,B2S8,inrows,partial,which needs action
631,19/02/2025,B2S8,mowing,pass,
632,19/02/2025,B2S8,inaccessibles,pass,
633,19/02/2025,B2S8,moisture,pass,
634,19/02/2025,B2S8,dead plants,partial,
635,19/02/2025,B2S8,health status,pass,
636,24/02/2025,B2S1A,Insect pests,fail,some green veg bug nymphs found on tees
637,24/02/2025,B2S1A,diseases,pass,
638,24/02/2025,B2S1A,basin weeds,fail,
639,24/02/2025,B2S1A,inrows,partial,which need action
640,24/02/2025,B2S1A,mowing,pass,
641,24/02/2025,B2S1A,inaccessibles,fail,
642,24/02/2025,B2S1A,moisture,pass,
643,24/02/2025,B2S1A,dead plants,pass,[1] due to physical damages
644,24/02/2025,B2S1A,health status,pass,
645,24/02/2025,B2S1B,Insect pests,fail,some green veg bug nymphs
646,24/02/2025,B2S1B,diseases,pass,
647,24/02/2025,B2S1B,basin weeds,pass,
648,24/02/2025,B2S1B,inrows,partial,
649,24/02/2025,B2S1B,mowing,pass,
650,24/02/2025,B2S1B,inaccessibles,fail,
651,24/02/2025,B2S1B,moisture,pass,
652,24/02/2025,B2S1B,dead plants,pass,
653,24/02/2025,B2S1B,health status,pass,
654,24/02/2025,B2S3,Insect pests,pass,
655,24/02/2025,B2S3,diseases,pass,
656,24/02/2025,B2S3,basin weeds,pass,
657,24/02/2025,B2S3,inrows,pass,
658,24/02/2025,B2S3,mowing,partial,
659,24/02/2025,B2S3,inaccessibles,pass,
660,24/02/2025,B2S3,moisture,pass,
661,24/02/2025,B2S3,dead plants,pass,
662,24/02/2025,B2S3,health status,pass,
663,26/02/2025,B2S2,Insect pests,pass,
664,26/02/2025,B2S2,diseases,pass,
665,26/02/2025,B2S2,basin weeds,pass,
666,26/02/2025,B2S2,inrows,pass,
667,26/02/2025,B2S2,mowing,partial,incomplete field which need action
668,26/02/2025,B2S2,inaccessibles,pass,
669,26/02/2025,B2S2,moisture,pass,
670,26/02/2025,B2S2,dead plants,pass,
671,26/02/2025,B2S2,staking,pass,
672,26/02/2025,B2S2,pipes,partial,
673,26/02/2025,B2S2,drippers,pass,
674,26/02/2025,B2S2,pipes,pass,
675,26/02/2025,B2S2,health status,pass,
676,26/02/2025,B2S4,Insect pests,pass,
677,26/02/2025,B2S4,diseases,pass,
678,26/02/2025,B2S4,basin weeds,partial,weeds regrowth
679,26/02/2025,B2S4,inrows,pass,
680,26/02/2025,B2S4,mowing,pass,
681,26/02/2025,B2S4,inaccessibles,pass,
682,26/02/2025,B2S4,moisture,pass,
683,26/02/2025,B2S4,dead plants,pass,
684,26/02/2025,B2S4,staking,pass,
685,26/02/2025,B2S4,drippers,pass,
686,26/02/2025,B2S4,pipes,pass,
687,26/02/2025,B2S4,pipes,pass,
688,26/02/2025,B2S4,health status,pass,
689,26/02/2025,B2S5,Insect pests,pass,
690,26/02/2025,B2S5,diseases,pass,
691,26/02/2025,B2S5,basin weeds,partial,weeds regrowth in basins
692,26/02/2025,B2S5,inrows,partial,
693,26/02/2025,B2S5,mowing,partial,
694,26/02/2025,B2S5,inaccessibles,pass,
695,26/02/2025,B2S5,moisture,pass,
696,26/02/2025,B2S5,dead plants,partial,
697,26/02/2025,B2S5,staking,pass,
698,26/02/2025,B2S5,drippers,pass,
699,26/02/2025,B2S5,pipes,pass,
700,26/02/2025,B2S5,pipes,pass,
701,26/02/2025,B2S5,health status,pass,
702,03/03/2025,B1S1,basin formation,pass,
703,03/03/2025,B1S1,basin weeds,partial,weeds regrowth
704,03/03/2025,B1S1,mowing,pass,
705,03/03/2025,B1S1,soil moisture,pass,due to rains
706,03/03/2025,B1S1,pipes,pass,
707,03/03/2025,B1S1,drippers,pass,
708,03/03/2025,B1S1,staking,pass,i plant need support
709,03/03/2025,B1S1,leaf colour,pass,
710,03/03/2025,B1S1,plant growth,pass,
711,03/03/2025,B1S1,pests,fail,some green veg bugs
712,03/03/2025,B1S1,pipes,pass,
713,03/03/2025,B1S1,dead plants,pass,1
715,03/03/2025,B1S1,soil nutrients,pass,
716,03/03/2025,B1S1,pruning,pass,
717,03/03/2025,B1S1,inrows,pass,
718,03/03/2025,B1S1,diseases,pass,
719,03/03/2025,B1S1,health status,pass,
720,04/03/2025,B2S6,basin formation,pass,
721,04/03/2025,B2S6,basin weeds,partial,
722,04/03/2025,B2S6,mowing,fail,
723,04/03/2025,B2S6,soil moisture,pass,
724,04/03/2025,B2S6,drippers,partial,
725,04/03/2025,B2S6,staking,pass,
726,04/03/2025,B2S6,leaf colour,pass,
727,04/03/2025,B2S6,plant growth,pass,
728,04/03/2025,B2S6,pests,fail,some green veg bug nymphs and
729,04/03/2025,B2S6,pipes,pass,
730,04/03/2025,B2S6,dead plants,pass,
732,04/03/2025,B2S6,soil nutrients,pass,
733,04/03/2025,B2S6,pruning,pass,
734,04/03/2025,B2S6,inrows,fail,
735,04/03/2025,B2S6,diseases,pass,
736,04/03/2025,B2S6,health status,pass,
737,05/03/2025,B1S2,basin formation,pass,
738,05/03/2025,B1S2,basin weeds,pass,
739,05/03/2025,B1S2,mowing,pass,
740,05/03/2025,B1S2,soil moisture,pass,
741,05/03/2025,B1S2,drippers,pass,
742,05/03/2025,B1S2,staking,pass,1 plant need support
743,05/03/2025,B1S2,leaf colour,pass,
744,05/03/2025,B1S2,plant growth,pass,
745,05/03/2025,B1S2,pests,fail,some green veg bugs and nymphs
746,05/03/2025,B1S2,diseases,pass,
747,05/03/2025,B1S2,pipes,pass,
748,05/03/2025,B1S2,dead plants,pass,
749,05/03/2025,B1S2,pipes,pass,
750,05/03/2025,B1S2,soil nutrients,pass,
751,05/03/2025,B1S2,pruning,pass,
752,05/03/2025,B1S2,inrows,pass,
754,05/03/2025,B1S2,health status,pass,
755,05/03/2025,B2S3,basin formation,pass,
756,05/03/2025,B2S3,basin weeds,pass,
757,05/03/2025,B2S3,mowing,pass,
758,05/03/2025,B2S3,soil moisture,pass,
759,05/03/2025,B2S3,pipes,pass,
760,05/03/2025,B2S3,drippers,pass,
761,05/03/2025,B2S3,staking,pass,
762,05/03/2025,B2S3,leaf colour,partial,
763,05/03/2025,B2S3,plant growth,pass,
764,05/03/2025,B2S3,pests,pass,only green veg bug eggs found
765,05/03/2025,B2S3,pipes,partial,
766,05/03/2025,B2S3,dead plants,pass,
768,05/03/2025,B2S3,soil nutrients,pass,
769,05/03/2025,B2S3,pruning,pass,
770,05/03/2025,B2S3,inrows,pass,
771,05/03/2025,B2S3,health status,pass,
772,06/03/2025,B1S1,pests,fail,some green veg bug
773,06/03/2025,B2S7,Insect pests,fail,2 nymphs of green veg bug found
774,07/03/2025,B2S2,basin formation,pass,
775,07/03/2025,B2S2,basin weeds,fail,
776,07/03/2025,B2S2,mowing,partial,incomplete field which need action
777,07/03/2025,B2S2,soil moisture,pass,
778,07/03/2025,B2S2,pipes,pass,
779,07/03/2025,B2S2,drippers,pass,
780,07/03/2025,B2S2,staking,pass,
781,07/03/2025,B2S2,leaf colour,partial,
782,07/03/2025,B2S2,plant growth,pass,
783,07/03/2025,B2S2,pests,partial,2 variegated stink bug nymphs found
784,07/03/2025,B2S2,diseases,pass,
785,07/03/2025,B2S2,dead plants,pass,
786,07/03/2025,B2S2,pipes,partial,
788,07/03/2025,B2S2,pruning,pass,
789,07/03/2025,B2S2,soil nutrients,pass,
790,07/03/2025,B2S2,inrows,pass,
791,07/03/2025,B2S2,health status,pass,
792,07/03/2025,B2S4,basin formation,pass,
793,07/03/2025,B2S4,basin weeds,fail,
794,07/03/2025,B2S4,mowing,pass,
795,07/03/2025,B2S4,soil moisture,pass,
796,07/03/2025,B2S4,pipes,pass,
797,07/03/2025,B2S4,drippers,pass,
798,07/03/2025,B2S4,staking,pass,
799,07/03/2025,B2S4,leaf colour,partial,
800,07/03/2025,B2S4,plant growth,pass,
801,07/03/2025,B2S4,pests,pass,
802,07/03/2025,B2S4,diseases,pass,
803,07/03/2025,B2S4,dead plants,pass,
804,07/03/2025,B2S4,pipes,pass,
806,07/03/2025,B2S4,pruning,pass,
807,07/03/2025,B2S4,soil nutrients,pass,
808,07/03/2025,B2S4,inrows,pass,
809,07/03/2025,B2S4,health status,pass,
810,07/03/2025,B2S8,basin formation,partial,
811,07/03/2025,B2S8,basin weeds,fail,
812,07/03/2025,B2S8,mowing,partial,
813,07/03/2025,B2S8,soil moisture,pass,
814,07/03/2025,B2S8,pipes,pass,
815,07/03/2025,B2S8,pipes,partial,
816,07/03/2025,B2S8,plant growth,pass,
817,07/03/2025,B2S8,pests,pass,
818,07/03/2025,B2S8,diseases,pass,
819,07/03/2025,B2S8,dead plants,partial,
820,07/03/2025,B2S8,pruning,pass,
821,07/03/2025,B2S8,staking,pass,
822,07/03/2025,B2S8,drippers,pass,
823,07/03/2025,B2S8,leaf colour,partial,
824,07/03/2025,B2S8,inrows,partial,inprogress
826,07/03/2025,B2S8,health status,pass,
827,08/03/2025,B2S5,basin formation,pass,
828,08/03/2025,B2S5,basin weeds,fail,
829,08/03/2025,B2S5,mowing,pass,
830,08/03/2025,B2S5,soil moisture,pass,
831,08/03/2025,B2S5,pipes,pass,
832,08/03/2025,B2S5,drippers,pass,
833,08/03/2025,B2S5,staking,pass,
834,08/03/2025,B2S5,leaf colour,pass,
835,08/03/2025,B2S5,plant growth,pass,
836,08/03/2025,B2S5,pests,pass,
837,08/03/2025,B2S5,diseases,pass,
838,08/03/2025,B2S5,pipes,pass,
839,08/03/2025,B2S5,dead plants,partial,
841,08/03/2025,B2S5,soil nutrients,pass,
842,08/03/2025,B2S5,pruning,pass,
843,08/03/2025,B2S5,inrows,pass,
844,08/03/2025,B2S5,health status,pass,
845,12/03/2025,B2S5,Insect pests,pass,
847,12/03/2025,B2S1A,Insect pests,pass,
848,12/03/2025,B2S1B,Insect pests,pass,
849,17/03/2025,B1S1,basin formation,pass,
850,17/03/2025,B1S1,basin weeds,partial,
851,17/03/2025,B1S1,mowing,pass,
852,17/03/2025,B1S1,soil moisture,pass,
853,17/03/2025,B1S1,pipes,pass,
854,17/03/2025,B1S1,drippers,pass,
855,17/03/2025,B1S1,staking,pass,
856,17/03/2025,B1S1,leaf colour,pass,
857,17/03/2025,B1S1,plant growth,pass,
858,17/03/2025,B1S1,pests,fail,"some green veg bug adults ,nymphs and eggs found"
859,17/03/2025,B1S1,diseases,pass,
860,17/03/2025,B1S1,pipes,pass,
861,17/03/2025,B1S1,dead plants,pass,
863,17/03/2025,B1S1,soil nutrients,pass,
864,17/03/2025,B1S1,pruning,pass,
865,17/03/2025,B1S1,inrows,partial,grass regrowth
866,17/03/2025,B1S1,health status,pass,
868,18/03/2025,B2S8,insect pests,pass,
869,19/03/2025,B1S2,insect pests,fail,1 two spotted bug and some eggs found .however the population of
871,20/03/2025,B2S7,insect pests,partial,3 nymphs and some eggs of green veg bugs found
872,20/03/2025,B2S7,diseases,partial,3 plants with phytophthora root rot .
873,20/03/2025,B2S7,basin formation,pass,
874,20/03/2025,B2S7,basin weeds,partial,
875,20/03/2025,B2S7,mowing,partial,incomplete
876,20/03/2025,B2S7,soil moisture,pass,
877,20/03/2025,B2S7,pipes,pass,
878,20/03/2025,B2S7,drippers,pass,
879,20/03/2025,B2S7,staking,pass,
880,20/03/2025,B2S7,leaf colour,pass,
881,20/03/2025,B2S7,plant growth,pass,
882,20/03/2025,B2S7,pipes,pass,
883,20/03/2025,B2S7,dead plants,pass,
885,20/03/2025,B2S7,soil nutrients,pass,
886,20/03/2025,B2S7,pruning,pass,
887,20/03/2025,B2S7,inrows,fail,
888,20/03/2025,B2S7,health status,partial,due to phythophthora on 3 plants
889,20/03/2025,B2S6,insect pests,fail,"1 coconut bug,green vegetable bug nymphals and some eggs found"
890,20/03/2025,B2S6,diseases,pass,
891,20/03/2025,B2S6,basin formation,pass,
892,20/03/2025,B2S6,basin weeds,fail,
893,20/03/2025,B2S6,inrows,pass,
894,20/03/2025,B2S6,mowing,pass,
895,20/03/2025,B2S6,soil moisture,pass,
896,20/03/2025,B2S6,soil nutrients,pass,
897,20/03/2025,B2S6,pipes,pass,
898,20/03/2025,B2S6,pipes,partial,
899,20/03/2025,B2S6,drippers,partial,
900,20/03/2025,B2S6,leaf colour,pass,
901,20/03/2025,B2S6,plant growth,pass,
902,20/03/2025,B2S6,pruning,pass,
903,20/03/2025,B2S6,staking,pass,
904,20/03/2025,B2S6,dead plants,pass,
906,20/03/2025,B2S6,health status,pass,
908,21/03/2025,B2S8,insect pests,pass,
909,21/03/2025,B2S8,diseases,pass,
910,21/03/2025,B2S8,basin formation,pass,
911,21/03/2025,B2S8,basin weeds,fail,
912,21/03/2025,B2S8,inrows,pass,
913,21/03/2025,B2S8,mowing,fail,
914,21/03/2025,B2S8,soil moisture,pass,
915,21/03/2025,B2S8,soil nutrients,pass,
916,21/03/2025,B2S8,leaf colour,partial,
917,21/03/2025,B2S8,pipes,pass,
918,21/03/2025,B2S8,pipes,partial,
919,21/03/2025,B2S8,drippers,pass,
920,21/03/2025,B2S8,dead plants,partial,
921,21/03/2025,B2S8,plant growth,pass,
922,21/03/2025,B2S8,pruning,pass,
923,21/03/2025,B2S8,staking,pass,
925,21/03/2025,B2S8,health status,pass,
926,21/03/2025,B2S1A,insect pests,fail,some green veg bug nymhs found
927,21/03/2025,B2S1A,diseases,pass,
928,21/03/2025,B2S1A,basin formation,pass,
929,21/03/2025,B2S1A,basin weeds,fail,
930,21/03/2025,B2S1A,mowing,pass,
931,21/03/2025,B2S1A,soil moisture,pass,
932,21/03/2025,B2S1A,soil nutrients,pass,
933,21/03/2025,B2S1A,leaf colour,pass,
934,21/03/2025,B2S1A,plant growth,pass,
935,21/03/2025,B2S1A,pipes,pass,
936,21/03/2025,B2S1A,pipes,pass,
937,21/03/2025,B2S1A,drippers,pass,
938,21/03/2025,B2S1A,pruning,pass,
939,21/03/2025,B2S1A,staking,pass,
940,21/03/2025,B2S1A,dead plants,pass,
942,21/03/2025,B2S1A,health status,pass,
943,21/03/2025,B2S1B,insect pests,fail,nymhals of green veg bug found [4]
944,21/03/2025,B2S1B,diseases,pass,
945,21/03/2025,B2S1B,basin formation,pass,
946,21/03/2025,B2S1B,basin weeds,pass,
947,21/03/2025,B2S1B,inrows,pass,
949,21/03/2025,B2S1B,soil moisture,pass,
950,21/03/2025,B2S1B,pipes,pass,
951,21/03/2025,B2S1B,pipes,pass,
952,21/03/2025,B2S1B,drippers,pass,
953,21/03/2025,B2S1B,staking,pass,
954,21/03/2025,B2S1B,pruning,pass,
955,21/03/2025,B2S1B,plant growth,pass,
956,21/03/2025,B2S1B,dead plants,pass,
958,21/03/2025,B2S1B,leaf colour,pass,
959,21/03/2025,B2S1B,health status,pass,
960,24/03/2025,B2S3,insect pests,pass,
961,24/03/2025,B2S3,diseases,partial,stem canker and wounds
962,24/03/2025,B2S3,basin formation,pass,
963,24/03/2025,B2S3,basin weeds,fail,
964,24/03/2025,B2S3,inrows,partial,grass regrowth
965,24/03/2025,B2S3,mowing,pass,
966,24/03/2025,B2S3,soil moisture,pass,
967,24/03/2025,B2S3,pipes,pass,
968,24/03/2025,B2S3,pipes,partial,
969,24/03/2025,B2S3,drippers,pass,
970,24/03/2025,B2S3,staking,pass,
971,24/03/2025,B2S3,pruning,pass,
972,24/03/2025,B2S3,plant growth,pass,
973,24/03/2025,B2S3,leaf colour,pass,
974,24/03/2025,B2S3,dead plants,pass,
976,24/03/2025,B2S3,health status,partial,stem canker to be prevented with PVA and Copper
977,24/03/2025,B2S5,insect pests,pass,
978,24/03/2025,B2S5,diseases,partial,there is a soil borne diseases which lead to death of big trees.
979,24/03/2025,B2S5,basin formation,pass,
980,24/03/2025,B2S5,basin weeds,fail,
981,24/03/2025,B2S5,inrows,pass,
982,24/03/2025,B2S5,mowing,pass,
983,24/03/2025,B2S5,soil moisture,pass,
984,24/03/2025,B2S5,pipes,pass,
985,24/03/2025,B2S5,pipes,pass,
986,24/03/2025,B2S5,drippers,pass,
987,24/03/2025,B2S5,staking,pass,
988,24/03/2025,B2S5,pruning,pass,
989,24/03/2025,B2S5,plant growth,pass,
990,24/03/2025,B2S5,leaf colour,pass,
991,24/03/2025,B2S5,dead plants,partial,
993,24/03/2025,B2S5,health status,partial,due to stem canker and color rot
994,25/03/2025,B2S2,insect pests,pass,
995,25/03/2025,B2S2,diseases,pass,
996,25/03/2025,B2S2,basin formation,pass,hoes shoe basin was done
997,25/03/2025,B2S2,basin weeds,fail,
998,25/03/2025,B2S2,mowing,fail,
999,25/03/2025,B2S2,soil moisture,pass,
1000,25/03/2025,B2S2,inrows,fail,
1001,25/03/2025,B2S2,pipes,pass,
1002,25/03/2025,B2S2,pipes,partial,
1003,25/03/2025,B2S2,drippers,pass,
1004,25/03/2025,B2S2,staking,pass,
1005,25/03/2025,B2S2,pruning,pass,
1006,25/03/2025,B2S2,plant growth,pass,
1007,25/03/2025,B2S2,leaf colour,pass,
1008,25/03/2025,B2S2,dead plants,pass,
1009,25/03/2025,B2S2,health status,pass,most of the plants have a magnificant rejuvination in a healthy look
1010,25/03/2025,B2S4,insect pests,pass,
1011,25/03/2025,B2S4,diseases,pass,
1012,25/03/2025,B2S4,basin formation,pass,
1013,25/03/2025,B2S4,basin weeds,fail,
1014,25/03/2025,B2S4,mowing,partial,grass regrowth
1015,25/03/2025,B2S4,soil moisture,pass,
1016,25/03/2025,B2S4,inrows,fail,
1017,25/03/2025,B2S4,pipes,pass,
1018,25/03/2025,B2S4,pipes,pass,
1019,25/03/2025,B2S4,drippers,pass,
1020,25/03/2025,B2S4,staking,pass,
1021,25/03/2025,B2S4,pruning,pass,
1022,25/03/2025,B2S4,plant growth,pass,
1023,25/03/2025,B2S4,leaf colour,pass,
1024,25/03/2025,B2S4,dead plants,pass,
1025,25/03/2025,B2S4,destumping,partial,inprogress Excavator
1027,25/03/2025,B2S4,health status,pass,the applied compost manure and fertilizers helps a lot to improve
1030,27/03/2025,B1S1,pests,partial,
1031,27/03/2025,B1S1,diseases,fail,
1032,27/03/2025,B1S1,basin formation,pass,
1033,27/03/2025,B1S1,basin weeds,pass,
1034,27/03/2025,B1S1,mowing,pass,
1035,27/03/2025,B1S1,soil moisture,pass,
1036,27/03/2025,B1S1,pipes,pass,
1037,27/03/2025,B1S1,pipes,pass,
1038,27/03/2025,B1S1,drippers,pass,
1039,27/03/2025,B1S1,staking,pass,
1040,27/03/2025,B1S1,pruning,pass,
1041,27/03/2025,B1S1,plant growth,pass,
1042,27/03/2025,B1S1,leaf colour,pass,
1043,27/03/2025,B1S1,dead plants,pass,
1045,27/03/2025,B1S1,inrows,pass,
1046,27/03/2025,B1S1,health status,partial,
1047,27/03/2025,B1S1,soil nutrients,partial,
1049,01/04/2025,B1S1,insect pests,fail,some green vegetable bugs [5 adults] found within the orchard
1050,01/04/2025,B1S1,diseases,fail,
1051,01/04/2025,B1S1,basin formation,pass,
1052,01/04/2025,B1S1,basin weeds,pass,
1053,01/04/2025,B1S1,mowing,pass,grass regrowth
1054,01/04/2025,B1S1,soil moisture,partial,
1055,01/04/2025,B1S1,pipes,pass,
1056,01/04/2025,B1S1,pipes,pass,
1057,01/04/2025,B1S1,drippers,pass,
1058,01/04/2025,B1S1,staking,pass,
1059,01/04/2025,B1S1,pruning,pass,
1060,01/04/2025,B1S1,plant growth,pass,
1061,01/04/2025,B1S1,leaf colour,partial,those leaves with brownish problem not yet recovered
1062,01/04/2025,B1S1,inrows,pass,
1063,01/04/2025,B1S1,dead plants,pass,
1065,01/04/2025,B1S1,health status,partial,
1066,01/04/2025,B1S1,soil nutrients,partial,
1067,01/04/2025,B1S2,insect pests,pass,
1068,01/04/2025,B1S2,diseases,pass,
1069,01/04/2025,B1S2,basin formation,pass,
1070,01/04/2025,B1S2,basin weeds,pass,
1071,01/04/2025,B1S2,mowing,pass,
1072,01/04/2025,B1S2,inrows,pass,
1073,01/04/2025,B1S2,soil moisture,partial,
1074,01/04/2025,B1S2,pipes,pass,
1075,01/04/2025,B1S2,pipes,pass,
1076,01/04/2025,B1S2,drippers,pass,
1077,01/04/2025,B1S2,staking,pass,1 plant to be staked
1078,01/04/2025,B1S2,pruning,pass,
1079,01/04/2025,B1S2,plant growth,pass,
1080,01/04/2025,B1S2,leaf colour,pass,
1081,01/04/2025,B1S2,dead plants,pass,
1083,01/04/2025,B1S2,soil nutrients,pass,
1084,01/04/2025,B1S2,health status,pass,
1085,02/04/2025,B2S7,insect pests,pass,2 nymphals of green vegetable bug found
1086,02/04/2025,B2S7,diseases,partial,stem canker /trunk wounds found on plants
1087,02/04/2025,B2S7,basin formation,pass,
1088,02/04/2025,B2S7,basin weeds,fail,
1089,02/04/2025,B2S7,mowing,pass,
1090,02/04/2025,B2S7,inrows,pass,
1091,02/04/2025,B2S7,soil moisture,partial,
1092,02/04/2025,B2S7,pipes,pass,
1093,02/04/2025,B2S7,pipes,pass,
1094,02/04/2025,B2S7,drippers,pass,
1095,02/04/2025,B2S7,staking,pass,
1096,02/04/2025,B2S7,pruning,pass,
1097,02/04/2025,B2S7,plant growth,pass,
1098,02/04/2025,B2S7,leaf colour,pass,
1099,02/04/2025,B2S7,dead plants,pass,
1101,02/04/2025,B2S7,soil nutrients,pass,
1102,02/04/2025,B2S7,health status,partial,action on stem canker should be done
1103,02/04/2025,B2S5,insect pests,pass,
1104,02/04/2025,B2S5,diseases,fail,a soil borne disease which lead to the death of big trees
1105,02/04/2025,B2S5,basin formation,pass,
1106,02/04/2025,B2S5,basin weeds,fail,
1107,02/04/2025,B2S5,inrows,pass,
1108,02/04/2025,B2S5,mowing,partial,extension portion need action
1109,02/04/2025,B2S5,soil moisture,partial,
1110,02/04/2025,B2S5,leaf colour,pass,
1111,02/04/2025,B2S5,plant growth,pass,
1112,02/04/2025,B2S5,soil nutrients,fail,
1113,02/04/2025,B2S5,staking,pass,
1114,02/04/2025,B2S5,pruning,pass,
1115,02/04/2025,B2S5,dead plants,fail,
1116,02/04/2025,B2S5,pipes,pass,
1117,02/04/2025,B2S5,pipes,pass,
1118,02/04/2025,B2S5,drippers,pass,
1120,02/04/2025,B2S5,health status,partial,
1121,03/04/2025,B2S1A,insect pests,pass,
1122,03/04/2025,B2S1A,diseases,pass,
1123,03/04/2025,B2S1A,basin formation,pass,
1124,03/04/2025,B2S1A,basin weeds,fail,
1125,03/04/2025,B2S1A,inrows,pass,
1126,03/04/2025,B2S1A,mowing,pass,grass regrowth
1127,03/04/2025,B2S1A,soil moisture,partial,
1128,03/04/2025,B2S1A,soil nutrients,pass,
1129,03/04/2025,B2S1A,dead plants,pass,
1130,03/04/2025,B2S1A,leaf colour,pass,
1131,03/04/2025,B2S1A,pruning,pass,
1132,03/04/2025,B2S1A,staking,pass,
1134,03/04/2025,B2S1A,pipes,pass,
1135,03/04/2025,B2S1A,pipes,pass,
1136,03/04/2025,B2S1A,drippers,pass,
1137,03/04/2025,B2S1A,plant growth,pass,
1138,03/04/2025,B2S1A,health status,pass,
1139,03/04/2025,B2S1B,insect pests,pass,
1140,03/04/2025,B2S1B,diseases,pass,
1141,03/04/2025,B2S1B,basin formation,pass,
1142,03/04/2025,B2S1B,basin weeds,partial,some basins still clean
1143,03/04/2025,B2S1B,mowing,pass,slashing was done
1144,03/04/2025,B2S1B,inrows,pass,
1145,03/04/2025,B2S1B,soil moisture,partial,
1146,03/04/2025,B2S1B,leaf colour,pass,
1147,03/04/2025,B2S1B,plant growth,pass,
1148,03/04/2025,B2S1B,soil nutrients,pass,
